"title","price","store","link","target_price","savings"
"ASUS ROG Strix G18 (2025) Gaming Laptop, 18” ROG FHD+ 16:10 144Hz, NVIDIA GeForce RTX™ 5050, AMD Ryzen 9 8940HX, 16GB DDR5-5200Mhz, 1TB PCIe Gen 4 SSD, Wi-Fi 6E, Windows 11 Home (G814PH-ES94 )","$1,399.00 ","Newegg","https://www.newegg.com/asus-rog-strix-g18-18-0-geforce-rtx-5050-laptop-gpu-amd-ryzen-9-8940hx-wuxga-16gb-memory-1tb-pcie-gen-4-ssd-ssd/p/N82E16834236648","2000","601.00"
"ASUS ROG Strix G18 - 18"" WQXGA 240 Hz - AMD Ryzen 9 8940HX - GeForce RTX 5060 Laptop GPU - 32GB Memory DDR5 5200 - 1TB PCIe SSD - Windows 11 Home (90NR0L28-M000A0 )","$1,849.99 ","Newegg","https://www.newegg.com/asus-rog-strix-g18-18-geforce-rtx-5060-laptop-gpu-amd-ryzen-9-8940hx-wqxga-32gb-memory-1-tb-pcie-ssd/p/N82E16834236639","2000","150.01"
"ASUS ROG Strix G18 - 18.0"" GeForce RTX 5070 Laptop GPU - AMD Ryzen 9 8940HX - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home Gaming Laptop - 240 Hz (G814PP-DS94)","$1,799.00 ","Newegg","https://www.newegg.com/asus-rog-strix-g18-18-0-geforce-rtx-5070-laptop-gpu-amd-ryzen-9-8940hx-wqxga-16gb-memory-1-tb-pcie-ssd/p/N82E16834236626","2000","201.00"
"ASUS ROG Strix G18 18"" Gaming Laptop - Intel Core Ultra 9 Processor 275HX - GeForce RTX 5060, 2.5K 240Hz/3ms Nebula Display - 32GB RAM, 1TB SSD, Windows 11","$1,998.99 ","Newegg","https://www.newegg.com/asus-18/p/2WC-000N-0GC62","2000","1.01"
"REFURBISHED Apple 2021 MacBook Pro with Apple M1 Max Chip, 16"", 32GB, 1TB, Space Gray","$1,399.99 ","Newegg","https://www.newegg.com/apple-lt-apmacpro16-m1-32-1ssd-16-0-no-32gb-memory-1-tb-ssd-black/p/2SN-0001-03C97","2500","1100.01"
"REFURBISHED Apple A Grade Macbook Pro 16-inch (Retina XDR, 16-GPU, Space Gray, 1yr Warranty) 3.2Ghz 10-Core M1 Pro (2021) MK183LL/A 512GB Flash 16GB Memory 3456x2234 Display Mac OS Power Adapter","$758.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-0-retina-display-non-touch-screen-3-20ghz-16gb-memory-512-gb-ssd-space-gray/p/2SN-0001-03191","2500","1741.03"
"REFURBISHED Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16in, 32GB, 1TB) Silver","$1,099.99 ","Newegg","https://www.newegg.com/apple-lt-apmacpro16-m1-32-1ssd-s1-16-0-no-32gb-memory-1-tb-ssd-silver/p/2SN-0001-03RZ3","2500","1400.01"
"REFURBISHED 2022 Apple MacBook Pro 13.3"" Laptop (Apple M2 8-Core, 8GB RAM, 256GB SSD, 10-Core GPU) Space Gray","$642.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-non-touch-screen-8gb-memory-256-gb-ssd-space-gray/p/2SN-0001-02KZ7","2500","1857.03"
"REFURBISHED 2020 Apple MacBook Pro 13.3"" True Tone (Touch Bar, 10th Gen Intel Core i5 2.0GHz, 16GB RAM, 512GB SSD, Integrated Iris Plus) Space Gray - Grade B","$479.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-non-touch-screen-2-00ghz-16gb-memory-512-gb-ssd-space-gray/p/2SN-0001-020R6","2500","2021.00"
"REFURBISHED Apple MacBook Pro with 2.0GHz Intel i5 (13"", 16GB, 512GB SSD) Space Gray","$429.99 ","Newegg","https://www.newegg.com/apple-lt-apmacpro13-i5-g10-16-512-13-3-no-16gb-memory-512-gb-ssd-gray/p/2SN-0001-03BT3","2500","2070.01"
"REFURBISHED 2019 Apple MacBook Pro with 2.3GHz Intel Core i9 (16-inch, 16GB RAM, 1TB Storage) Space Gray MVVM2LL/A","$623.99 ","Newegg","https://www.newegg.com/apple-lt-apmacpro16-i9-g9-16-1ssd-16-0-no-16gb-memory-1-tb-ssd-black/p/2SN-0001-03B44","2500","1876.01"
"REFURBISHED Apple 16"" MacBook Pro, Late 2019 Intel Core i7 32GB 1TB macOS, Silver","$679.99 ","Newegg","https://www.newegg.com/apple-lt-apmacpro16-i7-g9-32-1ssd-s-16-no-32gb-memory-1-tb-ssd-silver/p/2SN-0001-03BD2","2500","1820.01"
"REFURBISHED Apple MacBook Pro With Touch Bar Intel Core i5, 13"", 16GB, 256GB Space Gray","$314.97 ","Newegg","https://www.newegg.com/apple-mr9q2ll-a-r-13-3-non-touch-screen-16gb-memory-256-gb-ssd-black/p/2SN-0001-037A9","2500","2185.03"
"REFURBISHED Mid 2019 Apple MacBook Pro w 2.4GHz Intel i5 (13.3"", 16GB 256GB) Sp. Gray","$369.99 ","Newegg","https://www.newegg.com/apple-mv962ll-a-r-13-3-non-touch-screen-16gb-memory-256-gb-ssd-black/p/2SN-0001-037A7","2500","2130.01"
"REFURBISHED Apple A Grade Macbook Pro 16-inch (Retina DG, Space Gray, Touch Bar) 2.6Ghz 6-Core i7 (2019) MVVJ2LL/A 512GB SSD 16GB Memory 3072x1920 Display Mac OS Power Adapter Included","$398.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-0-retina-display-non-touch-screen-2-60ghz-amd-radeon-rx-5300m-16gb-memory-512-gb-ssd-512gb-hdd-space-gray/p/2SN-0001-01WP4","2500","2101.03"
"REFURBISHED Refurbished (Excellent) - Apple MacBook Pro (Fall 2023) MRX43LL 14.2"" Notebook Apple M3 Pro 18 GB RAM 1 TB SSD MacOS","$1,421.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-14-2/p/2SN-0001-03BK4","2500","1078.03"
"REFURBISHED Apple MacBook Pro (2023) 14-inch - Apple M3 Pro chip: 11-core CPU/14-Core GPU - 1TB - Space Black - 18GB RAM - 3 Thunderbolts 4 ports - Excellent (Grade A)","$1,427.97 ","Newegg","https://www.newegg.com/apple-14-space-black/p/2SN-0001-03RK8","2500","1072.03"
"REFURBISHED Apple MacBook Pro MD101LL/A Intel Core i5-3210M X2 2.5GHz 4GB 500GB 13.3"", Silver (Scratch and Dent)","$124.97 ","Newegg","https://www.newegg.com/apple-13-3-non-touch-screen-intel-hd-graphics-4000-silver/p/N82E16834098764","2500","2375.03"
"REFURBISHED Refurbished (Excellent) - Apple MacBook Pro MK183LL 16"" Notebook Apple M1 16 GB RAM 512 GB SSD MacOS","$758.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-0/p/2SN-0001-03BF8","2500","1741.03"
"REFURBISHED Apple MacBook Pro MD101LL/A Intel Core i5-3210M X2 2.5GHz 4GB 500GB (Scratch and Dent)","$124.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-wide-xga-non-touch-screen-intel-hd-graphics-4000-4gb-memory-500gb-hdd-silver/p/N82E16834100478","2500","2375.03"
"REFURBISHED Excellent Grade Macbook Pro 13.3-inch (Retina, Silver, Touch Bar) 2.4Ghz Quad Core i5 (2019) MV972LL/A 512GB SSD 16GB Memory 2560x1600 Display Mac OS Big Sur Power Adapter Included","$354.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-retina-display-non-touch-screen-2-40ghz-intel-iris-plus-graphics-655-16gb-memory-512-gb-ssd-512gb-hdd-silver/p/2SN-0001-01AK0","2500","2145.03"
"REFURBISHED Apple Grade A Laptop MacBook Pro (2020) 8GB Memory 256 GB SSD 8-core GPU 13.3"" MYDA2LL/A_SLB","$639.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-retina-display-8-core-gpu-8gb-memory-256-gb-ssd-silver/p/2SN-0001-036N8","2500","1861.00"
"REFURBISHED Apple - MacBook Pro - Grade A - 6th gen Intel Core i5 - 2.0GHz, 256GB SSD, 8GB RAM, Intel Iris Graphics 540 - 13"" Retina display - MLL42LL/A - A1708 - MacOS Catalina v10.15 - Space Gray - Late-2016","$258.97 ","Newegg","https://www.newegg.com/apple-industries-macbook-pro-13-3-retina-display-non-touch-screen-intel-core-i5-6360u-intel-iris-graphics-540-8gb-memory-256-gb-pcie-ssd-space-gray/p/1TS-00BN-00014","2500","2241.03"
"REFURBISHED Apple 2023 MacBook Pro 14"" M3 Pro 11C 4.06GHz GPU-14C 18GB RAM 512GB SSD, Space Black","$1,162.97 ","Newegg","https://www.newegg.com/apple-14-2-mini-led-non-touch-screen-integrated-graphics-black/p/2SN-0001-03A63","2500","1337.03"
"REFURBISHED 2019 Apple MacBook Pro 16 Intel i9 32GB 1TB AMD 5300M TouchBar Space Grey","$689.99 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-0-no-32gb-memory-1-tb-ssd-gray/p/2SN-0001-02WM9","2500","1810.01"
"REFURBISHED Apple A Grade Macbook Pro 14-inch (Retina XDR, 16-GPU, Silver, 1yr Warranty) 3.2Ghz 10-Core M1 Pro (2021) MKGT3LL/A 2TB Flash 16GB Memory 3024x1964 Display Mac OS Power Adapter","$1,045.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-14-2-retina-display-non-touch-screen-3-20ghz-16gb-memory-2-tb-ssd-silver/p/2SN-0001-032D4","2500","1455.00"
"REFURBISHED Apple 2019 MacBook Pro 16"" Core i7 2.6GHz 16GB RAM 512GB SSD A2141 | Excellent Condition | Rose Gold","$504.99 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-inch-2019-16-0-16gb-memory-512gb-ssd-space-gray/p/2SN-0001-03SU5","2500","1995.01"
"REFURBISHED Apple MacBook Pro 13-inch (2019) - Core i5, 8GB RAM, 256GB SSD - Space Gray","$378.00 ","Newegg","https://www.newegg.com/apple-13-3-intel-core-i5-8279u-intel-iris-plus-graphics-655-8gb-memory-256gb-ssd/p/2SN-0001-03SE1","2500","2122.00"
"REFURBISHED Apple Laptop (Late 2021) MacBook Pro Apple M1 Pro 16GB Memory 512 GB SSD 14.0"" macOS 12 Monterey MKGP3LL/A","$824.99 ","Newegg","https://www.newegg.com/apple-macbook-pro-14-0-16gb-memory-512-gb-ssd-space-gray/p/N82E16834096419","2500","1675.01"
"REFURBISHED Apple A Grade Macbook Pro 16-inch (Retina XDR, 16-GPU, Silver, 1yr Warranty) 3.2Ghz 10-Core M1 Pro (2021) MK1E3LL/A 512GB Flash 16GB Memory 3456x2234 Display Mac OS Power Adapter","$907.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-16-0-retina-display-non-touch-screen-3-20ghz-16gb-memory-512-gb-ssd-silver/p/2SN-0001-031A7","2500","1593.00"
"REFURBISHED Apple 2023 MacBook Pro Laptop M3 chip with 8core CPU, 10core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Gray","$1,629.95 ","Newegg","https://www.newegg.com/apple-14-2-8gb-memory-1tb-ssd-space-gray/p/2SN-0001-03AJ8","2500","870.05"
"REFURBISHED Apple MacBook Pro with Apple M1 Pro chip Late 2021 (14 inch, 16GB RAM, 512GB SSD) Silver (Renewed) 8-core CPU 14-core GPU Silver MKGR3LL/A Excellent Condition","$809.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-14-0/p/2SN-0001-03AD3","2500","1691.00"
"REFURBISHED Apple 2023 MacBook Pro Laptop M2 Pro chip with 10core CPU and 16core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver","$1,414.95 ","Newegg","https://www.newegg.com/apple-14-0-32gb-memory-512gb-ssd-silver/p/2SN-0001-035B6","2500","1085.05"
"REFURBISHED Apple MacBook Pro with Touch Bar (2020) 13.3"" Intel Core i5-1038NG7 16GB Memory 512GB SSD MWP72LL/A","$499.00 ","Newegg","https://www.newegg.com/apple-macbook-pro-with-touch-bar-13-3-wqxga-non-touch-screen-intel-core-i5-1038ng7-intel-iris-plus-graphics-16gb-memory-512-gb-ssd-silver/p/N82E16834096364","2500","2001.00"
"REFURBISHED Apple MacBook Pro 14-inch (2023) - M3 - Apple M3 Pro chip: 11-core CPU/14-Core GPU - 512GB - Space Black - 18GB RAM - 3 Thunderbolts 4 ports - Excellent (Grade A)","$1,162.97 ","Newegg","https://www.newegg.com/apple-14-space-black/p/2SN-0001-03DT5","2500","1337.03"
"REFURBISHED 2020 Apple MacBook Pro with 2.3GHz Intel Core i7 (13"", 32GB, 512GB) Silver","$549.99 ","Newegg","https://www.newegg.com/apple-mwp72ll-a-rr-13-3-non-touch-screen-32gb-memory-512-gb-ssd-silver/p/2SN-0001-037A6","2500","1950.01"
"REFURBISHED Apple MacBook Pro (13"", 2022, M2 Pro Chip, 8GB RAM, 512GB SSD) Space Gray","$1,334.95 ","Newegg","https://www.newegg.com/apple-13-0-space-gray/p/2SN-0001-03781","2500","1165.05"
"REFURBISHED Apple MacBook Pro (Mid-2012) 13.3"" Intel Core i5-3210M 4GB Memory MD101LL/A","$124.97 ","Newegg","https://www.newegg.com/apple-macbook-pro-13-3-non-touch-screen-intel-core-i5-3210m-intel-hd-graphics-4000-4gb-memory-500gb-hdd-silver/p/N82E16834096027","2500","2375.03"
"REFURBISHED Apple 2019 MacBook Pro 16"" IPS Retina Intel Core i7-9750H 2.6GHz 16GB RAM 512GB SSD Radeon Pro 5300M","$426.04 ","Newegg","https://www.newegg.com/apple-16-0-ips-no-16gb-memory-silver/p/2SN-0001-03S79","2500","2073.96"
